id,name,weekly_available_hours,seniority_level,english_level,number_of_assignments,active_assignments,importance,tag_names,availability,.NET,AI-TEST,Account Owner,Android,Angular,Artificial intelligence,BI,Blazor,C#,C++,CSS,Checked,Design,Dev ops,Django,Electron,Elixir,Flutter,HTML,JQuery,Java,JavaScript,Kotlin,Laravel,Machine Learning,Marketing,NextJs,Node JS,NuxtJS,NuxtJS 2,PHP,Project Manager,Python,QA,Rails,React JS,React Native,Roku,Rust,SOFT,Sales,Scala,Shopify,Solutions Architect,Stripe,Unity,Visual Basic 6,Webflow,Workfront Fusion,iOS
05820d99-0101-4fbe-a8d7-93afcfc2b526,Rebecca Sims,38,6,2,0,2,3,PHP,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3a34f94a-ae38-4cda-8b06-999c3a364757,Patricia Miller,26,6,1,3,5,41,TEST #1,156,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd53a3a0-0dbb-431a-b929-d98f2136a120,Wendy Walsh,11,1,2,4,0,91,ax,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40a8cf66-5a5d-4610-9467-9848360b37ce,Gary Edwards,12,1,1,3,4,31,JavaScript,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0
ef04b40a-b900-4fb5-b408-aa38255fb7b3,Anthony Sherman,0,2,1,1,0,82,Django,123,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,2,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b02e4419-4f3a-4c70-bf0f-1c2b887925db,Dawn Rocha,0,6,3,0,2,94,abcde,27,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,5,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,6
f813c252-21ec-4ed8-86ce-809d2440f3e7,Bryan Ruiz,0,1,1,0,0,62,Stripe,92,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48c2a645-7a03-4880-b98e-2f2000228924,Michael Dean,1,3,3,2,4,92,test-bew-ab,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
13376238-f5a6-48f6-b7c9-fdaafa76513a,Timothy Allen,3,3,3,4,0,22,Python,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c45d9ca7-fab9-4641-ae21-1c17083d8437,Amy Salinas,6,1,3,1,2,93,Scala,171,3,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24d4972f-8ce2-462b-b08b-ad84fedab7c8,Mark Hernandez,14,6,3,3,1,96,TEST #1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,2,0,4,0,0,0,0,0,0,1,3,0,0,0
b55eb420-f208-439f-9f60-be2262f2aecf,Neil Jones,2,6,2,1,3,54,Unity,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
da8979eb-7a30-47ce-a969-e64db43e98ae,William Rocha,24,1,1,2,3,85,acv,35,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5a5b53d-9318-44c3-bde7-f32f7786a4c7,Gerald Frey,31,3,1,1,3,1,Marketing,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,4,0,3,0,0,0,0
3ce3835e-71db-4b2e-bbf8-b2a20b75af3a,Matthew Johnson,29,2,3,5,1,44,React JS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
